T_translated,T_sample,DT_translated
K,K,K
11.06194553,26.9807,0.474251404
13.70905572,27.9812,0.379042062
16.09540483,28.979,0.135658642
17.79163537,29.9779,0.13931445
19.55115901,30.9743,0.190625616
21.2330148,31.9731,0.131039793
22.75507841,32.9696,0.095184271
24.34121365,33.9659,0.083041873
25.8671025,34.9622,0.102127157
27.22673523,35.9583,0.099576928
28.65912066,36.9529,0.097295474
30.00642655,37.9465,0.177773708
31.32470869,38.9407,0.114409429
32.53443252,39.9335,0.092567036
33.86020723,40.928,0.15282238
35.11425677,41.9211,0.124079434
36.41089799,42.914,0.077399683
37.65893811,43.9104,0.109719116
38.84526251,44.8974,0.067114888
40.03521757,45.8938,0.207220922
41.31440933,46.884,0.093208237
42.54557673,47.8785,0.075640839
43.70701003,48.8736,0.087882429
44.83952516,49.8642,0.111330164
46.06270617,50.8595,0.147371256
47.26165175,51.8531,0.134418896
48.42104049,52.848,0.121317802
49.5423139,53.8418,0.072621955
50.72773685,54.8412,0.09745247
51.83531466,55.831,0.110808994
52.98025842,56.8268,0.110827803
54.15837516,57.8269,0.122342348
55.27662147,58.8212,0.109129896
56.36487152,59.8132,0.149131931
57.55182982,60.8147,0.092158415
58.61750062,61.8051,0.071903699
59.7633256,62.808,0.088953604
60.89739215,63.7986,0.121933775
61.98607512,64.8025,0.148509749
63.08111568,65.7984,0.124603164
64.22481392,66.7926,0.129439295
65.31831726,67.7926,0.074031343
66.42487183,68.7863,0.125879958
67.51863349,69.7825,0.115634752
68.62613655,70.7854,0.11837449
69.69185576,71.7798,0.110623787
70.85168424,72.7774,0.109936999
71.91522713,73.7778,0.145138447
72.97607185,74.7737,0.136437789
74.05039455,75.7736,0.121403774
75.10664772,76.7718,0.192008504
76.21535997,77.7712,0.163168795
77.27217285,78.7695,0.299195003
78.36842496,79.7651,0.233778167
79.44067878,80.7647,0.16631839
80.51106336,81.7604,0.11974656
81.65376627,82.7614,0.154083757
82.68443373,83.7571,0.166638009
83.74271013,84.7549,0.129189174
84.83761588,85.7545,0.139290904
85.91104122,86.748,0.178998044
86.95034663,87.7564,0.217481692
88.02659262,88.753,0.150946834
89.08147767,89.7487,0.171822214
90.13706782,90.756,0.169326232
91.2049691,91.7456,0.178713228
92.20351233,92.7472,0.227763728
93.30301444,93.7476,0.22018152
94.3380955,94.7431,0.183203901
95.42907124,95.7494,0.190462971
96.5273848,96.743,0.205367396
97.57737477,97.7431,0.174986775
98.64087707,98.744,0.166482309
99.69046184,99.7402,0.169246551
100.6901025,100.742,0.169815331
101.710456,101.742,0.160223238
102.789197,102.74,0.190090163
103.869092,103.735,0.175858828
104.9864077,104.737,0.208467323
105.9005133,105.74,0.189850283
106.975415,106.738,0.218363037
108.2281963,107.735,0.17364648
109.1224538,108.734,0.196657563
110.1367604,109.736,0.154795255
111.2701243,110.733,0.305558254
112.3230906,111.734,0.229487209
113.344306,112.732,0.274753324
114.354032,113.731,0.229117421
115.4054487,114.732,0.245995334
116.5016392,115.73,0.253729962
117.5527465,116.733,0.226463238
118.5524475,117.732,0.219531814
119.6317423,118.727,0.242394005
120.6353809,119.731,0.290230975
121.6909386,120.732,0.202288285
122.7611059,121.733,0.198982295
123.7795464,122.728,0.210832758
124.7229172,123.73,0.221193877
125.8853676,124.719,0.272924739
126.9227675,125.726,0.244154319
128.0232266,126.726,0.261073509
129.0213843,127.724,0.18181829
130.0760504,128.723,0.273863848
131.1721487,129.723,0.2795728
132.1512852,130.727,0.367188557
133.2574189,131.722,0.358095289
134.247259,132.715,0.249179195
135.5529672,133.72,0.366642849
136.5137896,134.719,0.232551005
137.4905686,135.717,0.299364293
138.4806723,136.715,0.307059559
139.492893,137.715,0.268950033
140.6544239,138.72,0.331871684
141.5133808,139.719,0.256696286
142.4712098,140.733,0.307147557
143.4713848,141.715,0.258479322
144.4675329,142.717,0.239570056
145.3919636,143.716,0.216704524
146.4084364,144.719,0.138111027
147.4897099,145.712,0.271443799
148.3745124,146.713,0.220625726
149.4781806,147.719,0.295473844
150.4537374,148.712,0.250249393
151.3759205,149.715,0.250093062
152.3698181,150.713,0.342371296
153.2876191,151.717,0.287352641
154.2362447,152.716,0.25001694
155.2279513,153.718,0.290485892
156.2149463,154.719,0.267547874
157.2067873,155.717,0.183945338
158.190674,156.72,0.244555095
159.2059481,157.719,0.311048305
160.1465462,158.716,0.276334914
161.1444065,159.719,0.265230633
162.0964909,160.717,0.353690345
163.0282693,161.719,0.333123434
163.9700795,162.717,0.35767425
164.899073,163.715,0.400177895
165.9240052,164.714,0.37044407
166.9288757,165.716,0.354482519
167.9644747,166.718,0.32934559
168.8098802,167.718,0.373433535
169.8591946,168.717,0.320475976
170.8174378,169.715,0.337583828
171.8131281,170.719,0.506732295
172.7280681,171.714,0.475467152
173.8133754,172.717,0.384983726
174.7817669,173.714,0.412968144
175.6134184,174.711,0.417508619
176.695275,175.719,0.495172233
177.5789468,176.719,0.437699058
178.5348515,177.71,0.44757318
179.5934873,178.714,0.472237811
180.5479415,179.714,0.397215273
181.5599625,180.718,0.405799474
182.4634591,181.717,0.382301915
183.3507217,182.712,0.393763977
184.4351519,183.713,0.415658403
185.263304,184.717,0.285426629
186.2658332,185.717,0.366210068
187.2635548,186.714,0.351526495
188.1680477,187.716,0.355342802
189.1800018,188.714,0.464526803
190.1279598,189.713,0.373414498
191.2557588,190.715,0.421440189
192.1448639,191.718,0.407601848
192.9735695,192.719,0.412932783
193.8405772,193.717,0.494087206
194.8232712,194.712,0.505993263
195.9287989,195.721,0.365987123
196.8034355,196.717,0.566823139
197.8822748,197.714,0.418178901
198.5269317,198.718,0.414572589
199.5644214,199.71,0.373362687
200.6826615,200.715,0.606002487
201.5741507,201.72,0.51619153
202.4289166,202.719,0.375707216
203.3019294,203.717,0.477195339
204.4961954,204.712,0.588468799
205.2539167,205.716,0.325109458
206.0529369,206.717,0.477141548
207.2448833,207.718,0.63490705
208.0500529,208.718,0.571183033
209.1301084,209.718,0.434918043
210.163603,210.724,0.563428206
210.9241348,211.74,0.518555
211.9732179,212.716,0.468481373
212.630367,213.727,0.605377454
214.1149146,214.709,0.419410791
214.7349551,215.713,0.926445797
215.7983381,216.727,0.898263632
216.9566114,217.722,0.508243821
217.6344376,218.719,0.459676412
218.5585036,219.721,0.681041696
219.6002772,220.723,0.588425128
220.6561149,221.731,0.516370396
221.4854292,222.716,0.499179728
222.4381291,223.718,0.679064697
223.2951598,224.718,0.359644262
224.2767389,225.714,0.376389948
225.2347592,226.723,0.482938411
225.9682304,227.71,0.398905269
226.8056054,228.723,0.639320547
227.9560122,229.71,0.417698778
228.6938616,230.713,0.516380269
229.8458342,231.714,0.559786793
230.5916445,232.719,0.526667398
231.7168765,233.717,0.754900923
232.4697351,234.729,0.489523809
233.6688008,235.722,0.790334633
234.3484049,236.734,0.527412716
235.3984357,237.726,0.605220884
236.3445398,238.732,0.470273063
237.3242252,239.703,0.543710949
238.1336793,240.714,0.415618276
239.0226247,241.722,0.552874048
239.7652982,242.727,0.803072871
240.8811486,243.716,0.621828099
241.8362399,244.717,0.648338892
