T_sample,T_translated,DT_translated
K,K,K
26.9807,11.06194553,0.474251404
27.9812,13.70905572,0.379042062
28.979,16.09540483,0.135658642
29.9779,17.79163537,0.13931445
30.9743,19.55115901,0.190625616
31.9731,21.2330148,0.131039793
32.9696,22.75507841,0.095184271
33.9659,24.34121365,0.083041873
34.9622,25.8671025,0.102127157
35.9583,27.22673523,0.099576928
36.9529,28.65912066,0.097295474
37.9465,30.00642655,0.177773708
38.9407,31.32470869,0.114409429
39.9335,32.53443252,0.092567036
40.928,33.86020723,0.15282238
41.9211,35.11425677,0.124079434
42.914,36.41089799,0.077399683
43.9104,37.65893811,0.109719116
44.8974,38.84526251,0.067114888
45.8938,40.03521757,0.207220922
46.884,41.31440933,0.093208237
47.8785,42.54557673,0.075640839
48.8736,43.70701003,0.087882429
49.8642,44.83952516,0.111330164
50.8595,46.06270617,0.147371256
51.8531,47.26165175,0.134418896
52.848,48.42104049,0.121317802
53.8418,49.5423139,0.072621955
54.8412,50.72773685,0.09745247
55.831,51.83531466,0.110808994
56.8268,52.98025842,0.110827803
57.8269,54.15837516,0.122342348
58.8212,55.27662147,0.109129896
59.8132,56.36487152,0.149131931
60.8147,57.55182982,0.092158415
61.8051,58.61750062,0.071903699
62.808,59.7633256,0.088953604
63.7986,60.89739215,0.121933775
64.8025,61.98607512,0.148509749
65.7984,63.08111568,0.124603164
66.7926,64.22481392,0.129439295
67.7926,65.31831726,0.074031343
68.7863,66.42487183,0.125879958
69.7825,67.51863349,0.115634752
70.7854,68.62613655,0.11837449
71.7798,69.69185576,0.110623787
72.7774,70.85168424,0.109936999
73.7778,71.91522713,0.145138447
74.7737,72.97607185,0.136437789
75.7736,74.05039455,0.121403774
76.7718,75.10664772,0.192008504
77.7712,76.21535997,0.163168795
78.7695,77.27217285,0.299195003
79.7651,78.36842496,0.233778167
80.7647,79.44067878,0.16631839
81.7604,80.51106336,0.11974656
82.7614,81.65376627,0.154083757
83.7571,82.68443373,0.166638009
84.7549,83.74271013,0.129189174
85.7545,84.83761588,0.139290904
86.748,85.91104122,0.178998044
87.7564,86.95034663,0.217481692
88.753,88.02659262,0.150946834
89.7487,89.08147767,0.171822214
90.756,90.13706782,0.169326232
91.7456,91.2049691,0.178713228
92.7472,92.20351233,0.227763728
93.7476,93.30301444,0.22018152
94.7431,94.3380955,0.183203901
95.7494,95.42907124,0.190462971
96.743,96.5273848,0.205367396
97.7431,97.57737477,0.174986775
98.744,98.64087707,0.166482309
99.7402,99.69046184,0.169246551
100.742,100.6901025,0.169815331
101.742,101.710456,0.160223238
102.74,102.789197,0.190090163
103.735,103.869092,0.175858828
104.737,104.9864077,0.208467323
105.74,105.9005133,0.189850283
106.738,106.975415,0.218363037
107.735,108.2281963,0.17364648
108.734,109.1224538,0.196657563
109.736,110.1367604,0.154795255
110.733,111.2701243,0.305558254
111.734,112.3230906,0.229487209
112.732,113.344306,0.274753324
113.731,114.354032,0.229117421
114.732,115.4054487,0.245995334
115.73,116.5016392,0.253729962
116.733,117.5527465,0.226463238
117.732,118.5524475,0.219531814
118.727,119.6317423,0.242394005
119.731,120.6353809,0.290230975
120.732,121.6909386,0.202288285
121.733,122.7611059,0.198982295
